,jaar,wijkcode,buurtcode,fijnstof,roet,no2,woz,stedelijkheid,bevolkingsdichtheid,statuscode
1296,2013,WK003403,BU00340371,,0.75,16.5,189,2,2091,-0.4125
1297,2016,WK003403,BU00340371,17.2,0.73,17.65,176,2,2098,-0.54
1298,2015,WK003403,BU00340371,17.4,0.66,16.92,174,2,2096,-0.485
1299,2014,WK003403,BU00340371,19.4,0.79,16.24,178,2,2088,-0.43
1300,2013,WK003403,BU00340373,,0.61,13.7,189,2,2091,#N/B
1301,2016,WK003403,BU00340373,15.79,0.6,14.13,176,2,2098,#N/B
1302,2015,WK003403,BU00340373,16.34,0.55,13.87,174,2,2096,#N/B
1303,2014,WK003403,BU00340373,18.5,0.68,13.96,178,2,2088,#N/B
1304,2013,WK003403,BU00340311,,0.72,15.49,189,2,2091,1.0775
1305,2016,WK003403,BU00340311,17.34,0.75,17.02,176,2,2098,0.88
1306,2015,WK003403,BU00340311,17.58,0.68,16.31,174,2,2096,0.97
1307,2014,WK003403,BU00340311,19.57,0.79,15.66,178,2,2088,1.06
1308,2013,WK003403,BU00340302,,0.67,14.68,189,2,2091,0.625
1309,2016,WK003403,BU00340302,16.98,0.69,16.12,176,2,2098,0.52
1310,2015,WK003403,BU00340302,17.24,0.62,15.48,174,2,2096,0.57
1311,2014,WK003403,BU00340302,19.24,0.74,14.72,178,2,2088,0.62
1312,2013,WK003403,BU00340304,,0.7,15.43,189,2,2091,-0.4125
1313,2016,WK003403,BU00340304,17.38,0.72,16.93,176,2,2098,-0.54
1314,2015,WK003403,BU00340304,17.54,0.64,16.18,174,2,2096,-0.485
1315,2014,WK003403,BU00340304,19.55,0.77,15.42,178,2,2088,-0.43
1316,2013,WK003403,BU00340305,,0.77,17.02,189,2,2091,-0.4125
1317,2013,WK003403,BU00340305,,0.78,17,189,2,2091,-0.4125
1318,2016,WK003403,BU00340305,17.33,0.75,17.86,176,2,2098,-0.54
1319,2016,WK003403,BU00340305,17.68,0.78,18.37,176,2,2098,-0.54
1320,2015,WK003403,BU00340305,17.58,0.68,17.42,174,2,2096,-0.485
1321,2015,WK003403,BU00340305,17.89,0.71,17.79,174,2,2096,-0.485
1322,2014,WK003403,BU00340305,19.64,0.84,17.24,178,2,2088,-0.43
1323,2014,WK003403,BU00340305,19.92,0.84,17.11,178,2,2088,-0.43
1324,2013,WK003403,BU00340307,,0.77,17.02,189,2,2091,0.1
1325,2013,WK003403,BU00340307,,0.78,17,189,2,2091,0.1
1326,2016,WK003403,BU00340307,17.33,0.75,17.86,176,2,2098,-0.01
1327,2016,WK003403,BU00340307,17.68,0.78,18.37,176,2,2098,-0.01
1328,2015,WK003403,BU00340307,17.58,0.68,17.42,174,2,2096,0.04
1329,2015,WK003403,BU00340307,17.89,0.71,17.79,174,2,2096,0.04
1330,2014,WK003403,BU00340307,19.64,0.84,17.24,178,2,2088,0.09
1331,2014,WK003403,BU00340307,19.92,0.84,17.11,178,2,2088,0.09
1332,2013,WK003403,BU00340306,,0.75,16.53,189,2,2091,-0.4125
1333,2016,WK003403,BU00340306,17.6,0.76,17.89,176,2,2098,-0.54
1334,2015,WK003403,BU00340306,17.78,0.69,17.29,174,2,2096,-0.485
1335,2014,WK003403,BU00340306,19.81,0.82,16.63,178,2,2088,-0.43
1336,2013,WK003403,BU00340313,,0.66,14.11,189,2,2091,1.6075
1337,2016,WK003403,BU00340313,16.6,0.67,15.5,176,2,2098,1.52
1338,2015,WK003403,BU00340313,17,0.6,15.06,174,2,2096,1.56
1339,2014,WK003403,BU00340313,18.95,0.73,14.16,178,2,2088,1.6
1340,2013,WK003403,BU00340301,,0.76,16.26,189,2,2091,-2.3475
1341,2016,WK003403,BU00340301,17.73,0.77,18.01,176,2,2098,-2.09
1342,2015,WK003403,BU00340301,17.86,0.69,17.13,174,2,2096,-2.13
1343,2014,WK003403,BU00340301,19.87,0.83,16.37,178,2,2088,-2.17
1344,2013,WK003403,BU00340303,,0.69,14.98,189,2,2091,0.625
1345,2016,WK003403,BU00340303,17.16,0.7,16.33,176,2,2098,0.52
1346,2015,WK003403,BU00340303,17.39,0.63,15.7,174,2,2096,0.57
1347,2014,WK003403,BU00340303,19.41,0.75,15.11,178,2,2088,0.62
1348,2013,WK003403,BU00340312,,0.7,14.45,189,2,2091,1.6075
1349,2016,WK003403,BU00340312,16.71,0.71,16,176,2,2098,1.52
1350,2015,WK003403,BU00340312,17.12,0.65,15.53,174,2,2096,1.56
1351,2014,WK003403,BU00340312,19.1,0.76,14.55,178,2,2088,1.6
1352,2013,WK003404,BU00340405,,0.79,16.7,205,4,900,0
1353,2016,WK003404,BU00340405,17.15,0.84,18.63,195,4,1237,2.85
1354,2015,WK003404,BU00340405,17.65,0.78,18.65,196,4,1129,1.425
1355,2014,WK003404,BU00340405,19.63,0.86,17.16,192,4,1012,0
1356,2013,WK003404,BU00340401,,0.78,15.79,205,4,900,1.1325
1357,2016,WK003404,BU00340401,17.09,0.81,17.48,195,4,1237,1.49
1358,2015,WK003404,BU00340401,17.53,0.74,17.26,196,4,1129,1.5
1359,2014,WK003404,BU00340401,19.54,0.85,15.98,192,4,1012,1.51
1360,2013,WK003404,BU00340402,,0.74,14.89,205,4,900,1.1325
1361,2016,WK003404,BU00340402,16.93,0.74,16.26,195,4,1237,1.49
1362,2015,WK003404,BU00340402,17.28,0.67,15.98,196,4,1129,1.5
1363,2014,WK003404,BU00340402,19.32,0.82,15.08,192,4,1012,1.51
1364,2013,WK003404,BU00340403,,0.72,14.87,205,4,900,1.1325
1365,2016,WK003404,BU00340403,16.8,0.72,15.86,195,4,1237,1.49
1366,2015,WK003404,BU00340403,17.15,0.66,15.63,196,4,1129,1.5
1367,2014,WK003404,BU00340403,19.24,0.8,15.02,192,4,1012,1.51
1368,2013,WK003405,BU00340502,,0.66,14.45,481,5,49,2.45
1369,2016,WK003405,BU00340502,16.46,0.65,14.8,384,5,60,2.41
1370,2015,WK003405,BU00340502,17.01,0.6,14.7,407,5,52,2.415
1371,2014,WK003405,BU00340502,19.09,0.71,14.2,449,5,50,2.42
1372,2013,WK003405,BU00340503,,0.71,15.56,481,5,49,0
1373,2016,WK003405,BU00340503,16.34,0.68,15.03,384,5,60,-1.55
1374,2015,WK003405,BU00340503,17.07,0.65,15.63,407,5,52,-0.775
1375,2014,WK003405,BU00340503,19.23,0.75,15.27,449,5,50,0
1376,2013,WK003405,BU00340599,,0.75,16.91,481,5,49,#N/B
1377,2016,WK003405,BU00340599,16.76,0.71,16.77,384,5,60,#N/B
1378,2015,WK003405,BU00340599,17.43,0.67,17.44,407,5,52,#N/B
1379,2014,WK003405,BU00340599,19.51,0.78,16.79,449,5,50,#N/B
1380,2013,WK003701,BU00370110,,0.47,12.47,151,4,838,-3.415
1381,2016,WK003701,BU00370110,13.91,0.43,10.72,133,3,823,-3.69
1382,2015,WK003701,BU00370110,14.91,0.39,10.24,137,3,825,-3.68
1383,2014,WK003701,BU00370110,17.41,0.49,12.76,143,4,833,-3.67
1384,2013,WK003701,BU00370107,,0.46,12,151,4,838,-1.9025
1385,2016,WK003701,BU00370107,14.63,0.44,11.53,133,3,823,-2.31
1386,2015,WK003701,BU00370107,15.5,0.41,11.02,137,3,825,-2.21
1387,2014,WK003701,BU00370107,17.33,0.5,12.68,143,4,833,-2.11
1388,2013,WK003701,BU00370101,,0.5,12.44,151,4,838,-3.415
1389,2016,WK003701,BU00370101,14.58,0.5,12.39,133,3,823,-3.69
1390,2015,WK003701,BU00370101,15.45,0.46,11.76,137,3,825,-3.68
1391,2014,WK003701,BU00370101,17.69,0.54,13.16,143,4,833,-3.67
1392,2013,WK003701,BU00370109,,0.42,11.04,151,4,838,-1.9025
1393,2016,WK003701,BU00370109,13.95,0.41,10.24,133,3,823,-2.31
1394,2015,WK003701,BU00370109,14.85,0.37,9.78,137,3,825,-2.21
1395,2014,WK003701,BU00370109,17.22,0.45,11.4,143,4,833,-2.11
1396,2013,WK003701,BU00370103,,0.47,12.38,151,4,838,-0.9025
1397,2016,WK003701,BU00370103,14.04,0.44,11.1,133,3,823,-1.28
1398,2015,WK003701,BU00370103,15.04,0.4,10.58,137,3,825,-1.205
1399,2014,WK003701,BU00370103,17.44,0.49,12.85,143,4,833,-1.13
1400,2013,WK003701,BU00370100,,0.49,12.34,151,4,838,-3.415
1401,2016,WK003701,BU00370100,14.48,0.49,12.21,133,3,823,-3.69
1402,2015,WK003701,BU00370100,15.37,0.45,11.59,137,3,825,-3.68
1403,2014,WK003701,BU00370100,17.62,0.53,13.06,143,4,833,-3.67
1404,2013,WK003701,BU00370104,,0.49,12.46,151,4,838,-3.415
1405,2016,WK003701,BU00370104,14.56,0.48,12.14,133,3,823,-3.69
1406,2015,WK003701,BU00370104,15.45,0.44,11.54,137,3,825,-3.68
1407,2014,WK003701,BU00370104,17.63,0.53,13.35,143,4,833,-3.67
1408,2013,WK003701,BU00370112,,0.48,11.89,151,4,838,-3.415
1409,2016,WK003701,BU00370112,14.17,0.47,11.48,133,3,823,-3.69
1410,2015,WK003701,BU00370112,15.1,0.42,10.82,137,3,825,-3.68
1411,2014,WK003701,BU00370112,17.44,0.51,12.47,143,4,833,-3.67
1412,2013,WK003701,BU00370108,,0.47,12.05,151,4,838,-1.9025
1413,2016,WK003701,BU00370108,14.35,0.46,11.7,133,3,823,-2.31
1414,2015,WK003701,BU00370108,15.27,0.42,11.12,137,3,825,-2.21
1415,2014,WK003701,BU00370108,17.51,0.51,12.79,143,4,833,-2.11
1416,2013,WK003701,BU00370111,,0.42,11.04,151,4,838,-3.415
1417,2016,WK003701,BU00370111,14.1,0.4,10.08,133,3,823,-3.69
1418,2015,WK003701,BU00370111,14.92,0.36,9.64,137,3,825,-3.68
1419,2014,WK003701,BU00370111,17.42,0.45,11.39,143,4,833,-3.67
1420,2013,WK003701,BU00370106,,0.47,12.52,151,4,838,-0.9025
1421,2016,WK003701,BU00370106,14.6,0.43,11.15,133,3,823,-1.28
1422,2015,WK003701,BU00370106,15.56,0.39,10.68,137,3,825,-1.205
1423,2014,WK003701,BU00370106,17.38,0.49,13.07,143,4,833,-1.13
1424,2013,WK003701,BU00370105,,0.48,12.52,151,4,838,-0.9025
1425,2016,WK003701,BU00370105,14.32,0.45,11.56,133,3,823,-1.28
1426,2015,WK003701,BU00370105,15.27,0.41,11.04,137,3,825,-1.205
1427,2014,WK003701,BU00370105,17.51,0.51,13.25,143,4,833,-1.13
1428,2013,WK003701,BU00370102,,0.49,12.15,151,4,838,-3.415
1429,2016,WK003701,BU00370102,14.45,0.5,12.05,133,3,823,-3.69
1430,2015,WK003701,BU00370102,15.35,0.45,11.43,137,3,825,-3.68
1431,2014,WK003701,BU00370102,17.63,0.53,12.82,143,4,833,-3.67
1432,2013,WK003702,BU00370200,,0.46,12.03,146,5,664,-2.8525
1433,2016,WK003702,BU00370200,14.53,0.44,11.12,122,4,668,-3.14
1434,2015,WK003702,BU00370200,15.39,0.4,10.59,133,4,666,-3.08
1435,2014,WK003702,BU00370200,17.71,0.49,12.49,137,5,668,-3.02
1436,2013,WK003702,BU00370202,,0.45,12.18,146,5,664,-2.8525
1437,2016,WK003702,BU00370202,14.47,0.42,10.64,122,4,668,-3.14
1438,2015,WK003702,BU00370202,15.45,0.38,10.19,133,4,666,-3.08
1439,2014,WK003702,BU00370202,18,0.48,12.59,137,5,668,-3.02
1440,2013,WK003702,BU00370203,,0.45,12.13,146,5,664,-2.8525
1441,2016,WK003702,BU00370203,14.27,0.41,10.48,122,4,668,-3.14
1442,2015,WK003702,BU00370203,15.32,0.38,10.05,133,4,666,-3.08
1443,2014,WK003702,BU00370203,17.51,0.47,12.61,137,5,668,-3.02
1444,2013,WK003702,BU00370201,,0.45,12.27,146,5,664,-2.8525
1445,2016,WK003702,BU00370201,14.71,0.43,11.18,122,4,668,-3.14
1446,2015,WK003702,BU00370201,15.44,0.39,10.6,133,4,666,-3.08
1447,2014,WK003702,BU00370201,17.7,0.48,12.78,137,5,668,-3.02
1448,2013,WK003702,WK003705,,0.45,12.27,146,5,664,#N/B
1449,2016,WK003702,WK003705,14.71,0.43,11.18,122,4,668,#N/B
1450,2015,WK003702,WK003705,15.44,0.39,10.6,133,4,666,#N/B
1451,2014,WK003702,WK003705,17.7,0.48,12.78,137,5,668,#N/B
1452,2013,WK003703,BU00370309,,0.42,11.17,189,5,71,-1.5625
1453,2016,WK003703,BU00370309,13.95,0.39,9.89,170,5,72,-1.67
1454,2015,WK003703,BU00370309,15.09,0.35,9.46,172,5,72,-1.625
1455,2014,WK003703,BU00370309,17.37,0.43,11.44,174,5,72,-1.58
1456,2013,WK003703,BU00370300,,0.41,10.75,189,5,71,-1.5625
1457,2016,WK003703,BU00370300,13.71,0.4,10.04,170,5,72,-1.67
1458,2015,WK003703,BU00370300,14.82,0.36,9.61,172,5,72,-1.625
1459,2014,WK003703,BU00370300,17.09,0.43,11.28,174,5,72,-1.58
1460,2013,WK003703,BU00370301,,0.4,10.44,189,5,71,-1.5625
1461,2013,WK003704,BU00370301,,0.43,11.58,205,5,55,-1.5625
1462,2016,WK003703,BU00370301,13.64,0.39,9.83,170,5,72,-1.67
1463,2016,WK003704,BU00370301,14.09,0.4,10.12,174,5,55,-1.67
1464,2015,WK003703,BU00370301,14.79,0.35,9.42,172,5,72,-1.625
1465,2015,WK003704,BU00370301,15.15,0.36,9.67,183,5,55,-1.625
1466,2014,WK003703,BU00370301,17.09,0.43,10.84,174,5,72,-1.58
1467,2014,WK003704,BU00370301,17.5,0.45,12.07,187,5,55,-1.58
1468,2013,WK003703,BU00370409,,0.4,10.44,189,5,71,-0.3875
1469,2013,WK003704,BU00370409,,0.43,11.58,205,5,55,-0.3875
1470,2016,WK003703,BU00370409,13.64,0.39,9.83,170,5,72,-0.64
1471,2016,WK003704,BU00370409,14.09,0.4,10.12,174,5,55,-0.64
1472,2015,WK003703,BU00370409,14.79,0.35,9.42,172,5,72,-0.465
1473,2015,WK003704,BU00370409,15.15,0.36,9.67,183,5,55,-0.465
1474,2014,WK003703,BU00370409,17.09,0.43,10.84,174,5,72,-0.29
1475,2014,WK003704,BU00370409,17.5,0.45,12.07,187,5,55,-0.29
1476,2013,WK003703,BU00370308,,0.4,10.51,189,5,71,-1.5625
1477,2016,WK003703,BU00370308,13.62,0.39,9.76,170,5,72,-1.67
1478,2015,WK003703,BU00370308,14.78,0.35,9.35,172,5,72,-1.625
1479,2014,WK003703,BU00370308,17.08,0.43,10.94,174,5,72,-1.58
1480,2013,WK003704,BU00370401,,0.4,10.5,205,5,55,-0.3875
1481,2016,WK003704,BU00370401,13.91,0.39,9.91,174,5,55,-0.64
1482,2015,WK003704,BU00370401,15.06,0.35,9.45,183,5,55,-0.465
1483,2014,WK003704,BU00370401,17.37,0.42,10.94,187,5,55,-0.29
1484,2013,WK003704,BU00370400,,0.43,11.55,205,5,55,-0.3875
1485,2016,WK003704,BU00370400,14.08,0.4,10.26,174,5,55,-0.64
1486,2015,WK003704,BU00370400,15.17,0.37,9.84,183,5,55,-0.465
1487,2014,WK003704,BU00370400,17.55,0.45,11.89,187,5,55,-0.29
1488,2013,WK003704,BU00370402,,0.43,11.37,205,5,55,-0.5325
1489,2016,WK003704,BU00370402,13.91,0.4,10.17,174,5,55,-0.58
1490,2015,WK003704,BU00370402,15.01,0.36,9.72,183,5,55,-0.395
1491,2014,WK003704,BU00370402,17.42,0.45,11.8,187,5,55,-0.21
1492,2013,WK003705,BU00370500,,0.44,11.83,186,5,86,-1.03
1493,2016,WK003705,BU00370500,13.88,0.4,10.27,162,5,83,-1.17
1494,2015,WK003705,BU00370500,14.97,0.37,9.92,169,5,83,-1.135
1495,2014,WK003705,BU00370500,17.17,0.44,11.39,170,5,83,-1.1
1496,2013,WK003705,BU00370509,,0.44,11.76,186,5,86,-1.03
1497,2016,WK003705,BU00370509,13.8,0.4,9.97,162,5,83,-1.17
1498,2015,WK003705,BU00370509,14.89,0.36,9.61,169,5,83,-1.135
1499,2014,WK003705,BU00370509,17.25,0.44,11.39,170,5,83,-1.1
1500,2013,WK004700,BU00470003,,0.52,13.65,139,3,1610,-1.4625
1501,2016,WK004700,BU00470003,14.52,0.48,12.84,131,3,1588,-1.56
1502,2015,WK004700,BU00470003,15.44,0.45,12.4,131,3,1604,-1.565
1503,2014,WK004700,BU00470003,17.22,0.55,13.97,132,3,1605,-1.57
1504,2013,WK004700,BU00470001,,0.47,12.39,139,3,1610,-2.885
1505,2016,WK004700,BU00470001,14.28,0.46,11.7,131,3,1588,-3.32
1506,2015,WK004700,BU00470001,15.09,0.42,11.28,131,3,1604,-3.32
1507,2014,WK004700,BU00470001,17.12,0.51,12.74,132,3,1605,-3.32
1508,2013,WK004700,BU00470000,,0.47,12.28,139,3,1610,-1.4625
1509,2016,WK004700,BU00470000,14.01,0.46,11.62,131,3,1588,-1.56
1510,2015,WK004700,BU00470000,14.89,0.42,11.07,131,3,1604,-1.565
1511,2014,WK004700,BU00470000,17.05,0.51,12.52,132,3,1605,-1.57
1512,2013,WK004700,BU00470002,,0.45,11.83,139,3,1610,-2.885
1513,2016,WK004700,BU00470002,13.85,0.42,10.82,131,3,1588,-3.32
1514,2015,WK004700,BU00470002,14.73,0.38,10.45,131,3,1604,-3.32
1515,2014,WK004700,BU00470002,16.9,0.47,12.07,132,3,1605,-3.32
1516,2013,WK004700,BU00470006,,0.51,14.25,139,3,1610,-1.4625
1517,2013,WK004702,BU00470006,,0.41,11.47,180,4,211,-1.4625
1518,2016,WK004700,BU00470006,14.32,0.44,12.53,131,3,1588,-1.56
1519,2016,WK004702,BU00470006,14.39,0.38,9.96,169,4,208,-1.56
1520,2015,WK004700,BU00470006,15.31,0.41,12.02,131,3,1604,-1.565
1521,2015,WK004702,BU00470006,15.32,0.34,9.44,170,4,209,-1.565
1522,2014,WK004700,BU00470006,17.19,0.5,13.27,132,3,1605,-1.57
1523,2014,WK004702,BU00470006,17.61,0.42,11.07,172,4,210,-1.57
1524,2013,WK004700,BU00470203,,0.51,14.25,139,3,1610,-0.8675
1525,2013,WK004702,BU00470203,,0.41,11.47,180,4,211,-0.8675
1526,2016,WK004700,BU00470203,14.32,0.44,12.53,131,3,1588,-1.15
1527,2016,WK004702,BU00470203,14.39,0.38,9.96,169,4,208,-1.15
1528,2015,WK004700,BU00470203,15.31,0.41,12.02,131,3,1604,-1.07
1529,2015,WK004702,BU00470203,15.32,0.34,9.44,170,4,209,-1.07
1530,2014,WK004700,BU00470203,17.19,0.5,13.27,132,3,1605,-0.99
1531,2014,WK004702,BU00470203,17.61,0.42,11.07,172,4,210,-0.99
1532,2013,WK004700,BU00470004,,0.52,13.26,139,3,1610,-1.4625
1533,2016,WK004700,BU00470004,14.35,0.5,12.73,131,3,1588,-1.56
1534,2015,WK004700,BU00470004,15.19,0.46,12.18,131,3,1604,-1.565
1535,2014,WK004700,BU00470004,17.28,0.55,13.53,132,3,1605,-1.57
1536,2013,WK004700,BU00470007,,0.43,11.28,139,3,1610,-0.1775
1537,2016,WK004700,BU00470007,13.61,0.42,10.4,131,3,1588,-0.3
1538,2015,WK004700,BU00470007,14.55,0.37,9.97,131,3,1604,-0.275
1539,2014,WK004700,BU00470007,16.82,0.47,11.66,132,3,1605,-0.25
1540,2013,WK004700,BU00470005,,0.47,12.13,139,3,1610,-1.6625
1541,2016,WK004700,BU00470005,14.02,0.46,11.67,131,3,1588,-1.98
1542,2015,WK004700,BU00470005,14.9,0.42,11.2,131,3,1604,-1.92
1543,2014,WK004700,BU00470005,17.09,0.51,12.51,132,3,1605,-1.86
1544,2013,WK004701,BU00470102,,0.5,14.71,177,5,59,0.2625
1545,2016,WK004701,BU00470102,14.07,0.42,11.95,167,5,56,-0.29
1546,2015,WK004701,BU00470102,15.14,0.39,11.76,167,5,57,0
1547,2014,WK004701,BU00470102,17.62,0.49,14.04,169,5,58,0.29
1548,2013,WK004701,BU00470101,,0.49,13.47,177,5,59,0.2625
1549,2016,WK004701,BU00470101,13.87,0.41,11.01,167,5,56,-0.29
1550,2015,WK004701,BU00470101,14.92,0.38,10.83,167,5,57,0
1551,2014,WK004701,BU00470101,17.35,0.47,12.51,169,5,58,0.29
1552,2013,WK004701,BU00470109,,0.45,12.39,177,5,59,0.2625
1553,2016,WK004701,BU00470109,13.81,0.4,10.51,167,5,56,-0.29
1554,2015,WK004701,BU00470109,14.84,0.36,10.21,167,5,57,0
1555,2014,WK004701,BU00470109,17.22,0.45,11.89,169,5,58,0.29
1556,2013,WK004701,BU00470100,,0.43,11.48,177,5,59,0.9775
1557,2016,WK004701,BU00470100,13.34,0.39,9.77,167,5,56,1.12
1558,2015,WK004701,BU00470100,14.37,0.36,9.47,167,5,57,0.99
1559,2014,WK004701,BU00470100,16.75,0.46,11.76,169,5,58,0.86
1560,2013,WK004702,BU00470209,,0.43,11.61,180,4,211,-0.8675
1561,2016,WK004702,BU00470209,13.75,0.39,10.03,169,4,208,-1.15
1562,2015,WK004702,BU00470209,14.77,0.35,9.67,170,4,209,-1.07
1563,2014,WK004702,BU00470209,17.08,0.44,11.37,172,4,210,-0.99
1564,2013,WK004702,BU00470201,,0.45,12.06,180,4,211,-0.8675
1565,2016,WK004702,BU00470201,13.74,0.4,10.39,169,4,208,-1.15
1566,2015,WK004702,BU00470201,14.76,0.36,9.98,170,4,209,-1.07
1567,2014,WK004702,BU00470201,17.01,0.45,11.24,172,4,210,-0.99
1568,2013,WK004702,BU00470202,,0.42,11.57,180,4,211,-0.8675
1569,2016,WK004702,BU00470202,13.7,0.39,10.1,169,4,208,-1.15
1570,2015,WK004702,BU00470202,14.67,0.35,9.89,170,4,209,-1.07
1571,2014,WK004702,BU00470202,16.97,0.44,11.33,172,4,210,-0.99
1572,2013,WK004702,BU00470200,,0.46,12.29,180,4,211,-0.8675
1573,2016,WK004702,BU00470200,14.06,0.42,10.87,169,4,208,-1.15
1574,2015,WK004702,BU00470200,15.02,0.38,10.47,170,4,209,-1.07
1575,2014,WK004702,BU00470200,17.24,0.47,11.92,172,4,210,-0.99
1576,2013,WK005000,BU00500000,,0.64,14.59,246,4,86,-0.0425
1577,2016,WK005000,BU00500000,17.4,0.64,15.25,229,4,89,0.05
1578,2015,WK005000,BU00500000,17.83,0.59,14.61,229,4,88,0.05
1579,2014,WK005000,BU00500000,19.78,0.7,14.43,235,4,87,0.05
1580,2013,WK005000,BU00500008,,0.69,17.18,246,4,86,#N/B
1581,2016,WK005000,BU00500008,16.51,0.62,16.56,229,4,89,#N/B
1582,2015,WK005000,BU00500008,17.24,0.58,15.76,229,4,88,#N/B
1583,2014,WK005000,BU00500008,19.28,0.71,16.72,235,4,87,#N/B
1584,2013,WK005000,BU00500004,,0.63,13.66,246,4,86,1.475
1585,2016,WK005000,BU00500004,16.73,0.62,13.84,229,4,89,1.55
1586,2015,WK005000,BU00500004,17.38,0.56,13.5,229,4,88,1.475
1587,2014,WK005000,BU00500004,19.28,0.69,13.44,235,4,87,1.4
1588,2013,WK005000,BU00500007,,0.62,13.64,246,4,86,-0.7925
1589,2016,WK005000,BU00500007,16.58,0.6,13.71,229,4,89,0.59
1590,2015,WK005000,BU00500007,17.23,0.56,13.89,229,4,88,0.57
1591,2014,WK005000,BU00500007,19.2,0.66,13.32,235,4,87,0.55
1592,2013,WK005000,BU00500009,,0.61,14.41,246,4,86,#N/B
1593,2016,WK005000,BU00500009,16.79,0.59,14.81,229,4,89,#N/B
1594,2015,WK005000,BU00500009,17.34,0.54,14.36,229,4,88,#N/B
1595,2014,WK005000,BU00500009,19.07,0.66,14.17,235,4,87,#N/B
1596,2013,WK005000,BU00500001,,0.64,14.52,246,4,86,-0.0425
1597,2016,WK005000,BU00500001,17.25,0.65,15.22,229,4,89,0.05
1598,2015,WK005000,BU00500001,17.69,0.6,14.55,229,4,88,0.05
1599,2014,WK005000,BU00500001,19.63,0.7,14.35,235,4,87,0.05
1600,2013,WK005000,BU00500006,,0.67,15.04,246,4,86,-1.11
1601,2016,WK005000,BU00500006,17.06,0.63,14.98,229,4,89,-1.36
1602,2015,WK005000,BU00500006,17.63,0.59,14.74,229,4,88,-1.42
1603,2014,WK005000,BU00500006,19.75,0.71,14.69,235,4,87,-1.48
1604,2013,WK005000,BU00500003,,0.63,14.22,246,4,86,1.3175
1605,2016,WK005000,BU00500003,17.05,0.63,14.87,229,4,89,1.28
1606,2015,WK005000,BU00500003,17.48,0.58,14.31,229,4,88,1.305
1607,2014,WK005000,BU00500003,19.42,0.69,14.03,235,4,87,1.33
1608,2013,WK005000,BU00500002,,0.65,15.06,246,4,86,0.7925
1609,2016,WK005000,BU00500002,17.23,0.64,15.54,229,4,89,0.84
1610,2015,WK005000,BU00500002,17.65,0.59,14.79,229,4,88,0.81
1611,2014,WK005000,BU00500002,19.66,0.7,14.93,235,4,87,0.78
1612,2013,WK005300,BU00530003,,0.38,11.11,177,4,278,-0.365
1613,2016,WK005300,BU00530003,13.84,0.39,9.99,169,4,276,-0.5
1614,2015,WK005300,BU00530003,14.15,0.34,9.34,168,4,278,-0.435
1615,2014,WK005300,BU00530003,16.34,0.42,11.17,171,4,278,-0.37
1616,2013,WK005300,BU00530000,,0.41,11.51,177,4,278,-0.365
1617,2016,WK005300,BU00530000,13.85,0.41,10.46,169,4,276,-0.5
1618,2015,WK005300,BU00530000,14.13,0.36,9.79,168,4,278,-0.435
1619,2014,WK005300,BU00530000,16.36,0.46,12.22,171,4,278,-0.37
1620,2013,WK005300,BU00530009,,0.39,11.34,177,4,278,-0.365
1621,2016,WK005300,BU00530009,13.74,0.38,9.78,169,4,276,-0.5
1622,2015,WK005300,BU00530009,14.06,0.33,9.12,168,4,278,-0.435
1623,2014,WK005300,BU00530009,16.27,0.42,10.97,171,4,278,-0.37
1624,2013,WK005300,BU00530004,,0.39,11.26,177,4,278,-0.365
1625,2016,WK005300,BU00530004,13.84,0.4,10.17,169,4,276,-0.5
1626,2015,WK005300,BU00530004,14.12,0.35,9.5,168,4,278,-0.435
1627,2014,WK005300,BU00530004,16.28,0.44,11.38,171,4,278,-0.37
1628,2013,WK005300,BU00530002,,0.41,11.61,177,4,278,-0.365
1629,2016,WK005300,BU00530002,13.89,0.41,10.59,169,4,276,-0.5
1630,2015,WK005300,BU00530002,14.15,0.37,9.93,168,4,278,-0.435
1631,2014,WK005300,BU00530002,16.33,0.45,11.81,171,4,278,-0.37
1632,2013,WK005300,BU00530001,,0.41,11.75,177,4,278,-0.365
1633,2016,WK005300,BU00530001,13.79,0.4,10.21,169,4,276,-0.5
1634,2015,WK005300,BU00530001,14.08,0.35,9.54,168,4,278,-0.435
1635,2014,WK005300,BU00530001,16.29,0.45,11.89,171,4,278,-0.37
1636,2013,WK005301,BU00530100,,0.37,10.98,172,5,72,-0.4125
1637,2016,WK005301,BU00530100,13.85,0.38,9.81,161,5,68,-0.35
1638,2015,WK005301,BU00530100,14.15,0.33,9.04,161,5,70,-0.36
1639,2014,WK005301,BU00530100,16.34,0.41,10.87,164,5,70,-0.37
1640,2013,WK005301,BU00530109,,0.38,11.17,172,5,72,0.8575
1641,2016,WK005301,BU00530109,13.83,0.38,9.96,161,5,68,0.72
1642,2015,WK005301,BU00530109,14.18,0.33,9.22,161,5,70,0.79
1643,2014,WK005301,BU00530109,16.41,0.42,11.03,164,5,70,0.86
1644,2013,WK005301,BU00530102,,0.38,11.16,172,5,72,0.4625
1645,2013,WK005303,BU00530102,,0.42,12,190,5,103,0.4625
1646,2016,WK005301,BU00530102,13.87,0.39,10.19,161,5,68,0.64
1647,2016,WK005303,BU00530102,13.84,0.41,10.55,178,5,101,0.64
1648,2015,WK005301,BU00530102,14.2,0.34,9.44,161,5,70,0.605
1649,2015,WK005303,BU00530102,14.28,0.36,9.83,178,5,102,0.605
